slno,Flow_ID, Source_IP, Source_Port, Destination_IP,Destination_Port, Protocol, Timestamp, Flow_Duration, Total_Fwd_Packets,Total_Length_of_Fwd_Packets, Fwd_Packet_Length_Max, Fwd_Packet_Length_Min,Flow_Bytes_per_second, Flow_Packets_per_second,Fwd_Packets_per_second, Min_Packet_Length, Max_Packet_Length, Packet_Length_ean, ACK_Flag_Count,Label
A132DJVI37RB4X,172.16.0.5-192.168.50.1-44669-27661-17,172.16.0.5,44669,192.168.50.1,27661,17,41:11.7,3006788,4,2064,516,516,686.4467997,1.330323255,1.330323255,516,516,516,0,No Attack
AO2ZY713W85C7,172.16.0.5-192.168.50.1-26607-47973-6,172.16.0.5,26607,192.168.50.1,47973,6,34:35.2,1,2,0,0,0,0,2000000,2000000,0,0,0,1,Evasion or Adversarial Attack
A1UHRRM3U7T1KR,172.16.0.5-192.168.50.1-62744-29235-17,172.16.0.5,62744,192.168.50.1,29235,17,40:34.1,6001231,6,3096,516,516,515.8941557,0.999794875,0.999794875,516,516,516,0,Poisoning or Causative Attack
A2OPG8EOB026ME,172.16.0.5-192.168.50.1-62504-28295-17,172.16.0.5,62504,192.168.50.1,28295,17,40:25.8,6010191,6,3096,516,516,515.1250601,0.99830438,0.99830438,516,516,516,0,Trojan Attack
A19DSLQN7O8UF7,172.16.0.5-192.168.50.1-22126-22126-6,172.16.0.5,22126,192.168.50.1,22126,6,34:32.8,1,2,0,0,0,0,2000000,2000000,0,0,0,1,Trojan Attack
A1N5SXOJUJGI6A,172.16.0.5-192.168.50.1-62134-51828-6,172.16.0.5,62134,192.168.50.1,51828,6,34:41.0,1,2,0,0,0,0,2000000,2000000,0,0,0,1,No Attack
A2M4EZS28WRWTA,172.16.0.5-192.168.50.1-62864-43853-17,172.16.0.5,62864,192.168.50.1,43853,17,40:50.1,6000007,6,3096,516,516,515.999398,0.999998833,0.999998833,516,516,516,0,No Attack
A1TQQQAYEDEY6B,172.16.0.5-192.168.50.1-580-50628-17,172.16.0.5,580,192.168.50.1,50628,17,40:50.0,5694475,22,11352,516,516,1993.511254,3.863393904,3.863393904,516,516,516,0,Evasion or Adversarial Attack
A3MDETK0D5UAIN,172.16.0.5-192.168.50.1-9018-13019-6,172.16.0.5,9018,192.168.50.1,13019,6,34:32.4,102,2,0,0,0,0,39215.68627,19607.84314,0,0,0,1,Poisoning or Causative Attack
A2RZFAXI5Y7NLT,172.16.0.5-192.168.50.1-43641-5485-17,172.16.0.5,43641,192.168.50.1,5485,17,40:50.0,3027546,4,2064,516,516,681.7402609,1.321202056,1.321202056,516,516,516,0,Trojan Attack
A1N07AUA3B1NUU,172.16.0.5-192.168.50.1-62466-48932-17,172.16.0.5,62466,192.168.50.1,48932,17,40:11.2,2999809,4,2064,516,516,688.0438055,1.333418228,1.333418228,516,516,516,0,Trojan Attack
A3QLX72AO0DD5Z,172.16.0.5-192.168.50.1-62468-61612-17,172.16.0.5,62468,192.168.50.1,61612,17,40:12.0,3000075,4,2064,516,516,687.9828004,1.333300001,1.333300001,516,516,516,0,No Attack
A3KT9194WQLNLY,172.16.0.5-192.168.50.1-62708-18866-17,172.16.0.5,62708,192.168.50.1,18866,17,40:59.8,3002130,4,2064,516,516,687.5118666,1.332387338,1.332387338,516,516,516,0,Evasion or Adversarial Attack
A39TEF7LX44K7Q,172.16.0.5-192.168.50.1-62777-33024-17,172.16.0.5,62777,192.168.50.1,33024,17,41:00.9,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Poisoning or Causative Attack
ABFCYFL69Y41H,172.16.0.5-192.168.50.1-63493-54573-17,172.16.0.5,63493,192.168.50.1,54573,17,40:25.9,1,2,1032,516,516,1032000000,2000000,2000000,516,516,516,0,Trojan Attack
AUJLWV0FMI5V6,172.16.0.5-192.168.50.1-21775-32514-17,172.16.0.5,21775,192.168.50.1,32514,17,41:02.1,2,2,1032,516,516,516000000,1000000,1000000,516,516,516,0,No Attack
